@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
494,'2019/02/19 23:26:21:542',3,12,10,10,0,0,0
495,'2019/02/19 23:26:21:552',3,11,10,10,0,0,0
496,'2019/02/19 23:26:21:563',3,12,9,10,0,0,0
497,'2019/02/19 23:26:21:573',3,11,10,10,0,0,0
498,'2019/02/19 23:26:21:582',3,12,10,10,0,0,0
499,'2019/02/19 23:26:21:593',3,12,9,9,0,0,0
500,'2019/02/19 23:26:21:604',3,11,10,10,0,0,0
501,'2019/02/19 23:26:21:613',3,11,10,10,0,0,0
502,'2019/02/19 23:26:21:622',3,12,10,10,0,0,0
503,'2019/02/19 23:26:21:633',3,12,10,10,0,0,0
504,'2019/02/19 23:26:21:642',3,12,9,10,0,0,0
505,'2019/02/19 23:26:21:653',3,11,10,10,0,0,0
506,'2019/02/19 23:26:21:663',3,12,8,9,0,0,0
507,'2019/02/19 23:26:35:686',4,998,10,9,1,0,0
508,'2019/02/19 23:26:35:695',4,999,9,10,1,0,0
509,'2019/02/19 23:26:35:706',4,998,10,10,1,0,0
510,'2019/02/19 23:26:35:706',4,998,10,10,1,0,0
511,'2019/02/19 23:26:35:726',4,998,10,10,1,0,0
512,'2019/02/19 23:26:35:736',4,999,10,10,1,0,0
513,'2019/02/19 23:26:35:744',4,998,10,9,1,0,0
514,'2019/02/19 23:26:35:756',4,997,9,9,1,0,0
515,'2019/02/19 23:26:35:766',4,998,10,11,1,0,0
516,'2019/02/19 23:26:35:775',4,998,9,10,1,0,0
517,'2019/02/19 23:26:35:785',4,998,10,9,1,0,0
518,'2019/02/19 23:26:35:795',4,999,9,10,1,0,0
519,'2019/02/19 23:26:35:805',4,999,10,9,1,0,0
520,'2019/02/19 23:26:35:816',4,999,10,10,1,0,0
521,'2019/02/19 23:26:35:825',4,998,10,9,1,0,0
522,'2019/02/19 23:26:35:836',4,998,10,10,1,0,0
523,'2019/02/19 23:26:35:846',4,998,10,9,1,0,0
524,'2019/02/19 23:26:35:855',4,998,10,9,1,0,0
525,'2019/02/19 23:26:35:867',4,998,10,9,1,0,0
526,'2019/02/19 23:26:35:876',4,999,9,9,1,0,0
527,'2019/02/19 23:26:35:886',4,999,10,10,1,0,0
528,'2019/02/19 23:26:35:895',4,998,10,10,1,0,0
529,'2019/02/19 23:26:35:906',4,1000,10,10,1,0,0
530,'2019/02/19 23:26:35:916',4,999,9,10,1,0,0
531,'2019/02/19 23:26:35:925',4,998,10,10,1,0,0
532,'2019/02/19 23:26:35:935',4,995,9,9,1,0,0
533,'2019/02/19 23:26:35:946',4,997,10,10,1,0,0
534,'2019/02/19 23:26:35:946',4,998,9,9,1,0,0
535,'2019/02/19 23:26:35:966',4,999,10,9,1,0,0
536,'2019/02/19 23:26:35:977',4,999,10,9,1,0,0
537,'2019/02/19 23:26:35:977',4,998,10,9,1,0,0
538,'2019/02/19 23:26:35:997',4,999,9,10,1,0,0
539,'2019/02/19 23:26:36:007',4,998,11,10,1,0,0
540,'2019/02/19 23:26:36:013',4,998,10,9,1,0,0
541,'2019/02/19 23:26:36:027',4,998,10,10,1,0,0
542,'2019/02/19 23:26:36:037',4,998,10,9,1,0,0
543,'2019/02/19 23:26:36:046',4,999,8,9,1,0,0
544,'2019/02/19 23:26:36:057',4,997,10,10,1,0,0
545,'2019/02/19 23:26:36:066',4,999,10,10,1,0,0
546,'2019/02/19 23:26:36:077',4,998,10,10,1,0,0
547,'2019/02/19 23:26:36:087',4,999,10,9,1,0,0
548,'2019/02/19 23:26:36:095',4,998,10,10,1,0,0
