@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
223,'2019/02/13 09:19:12:360',1,37,78,72,72,1
224,'2019/02/13 09:19:12:454',1,39,76,70,70,1
225,'2019/02/13 09:19:12:548',1,43,74,69,69,1
226,'2019/02/13 09:19:12:642',1,45,71,72,72,1
227,'2019/02/13 09:19:12:735',1,48,70,72,72,1
228,'2019/02/13 09:19:12:845',1,50,69,73,73,1
229,'2019/02/13 09:19:12:938',1,52,68,71,71,1
230,'2019/02/13 09:19:13:030',1,55,65,71,71,1
231,'2019/02/13 09:19:13:124',1,57,63,72,72,1
232,'2019/02/13 09:19:13:217',1,58,61,72,72,1
233,'2019/02/13 09:19:13:311',1,60,61,70,70,1
234,'2019/02/13 09:19:13:411',1,60,58,75,75,1
235,'2019/02/13 09:19:13:501',1,60,56,76,76,1
236,'2019/02/13 09:19:13:595',1,61,56,76,76,1
237,'2019/02/13 09:19:13:688',1,62,56,76,76,1
238,'2019/02/13 09:19:13:782',1,63,55,77,77,1
239,'2019/02/13 09:19:13:876',1,65,56,77,77,1
240,'2019/02/13 09:19:13:980',1,69,58,74,74,1
241,'2019/02/13 09:19:14:060',1,71,58,73,73,1
242,'2019/02/13 09:19:14:154',1,74,57,74,74,1
243,'2019/02/13 09:19:14:263',1,76,55,74,74,1
244,'2019/02/13 09:19:14:357',1,80,53,73,73,1
245,'2019/02/13 09:19:14:437',1,84,51,73,73,1
246,'2019/02/13 09:19:14:546',1,87,48,74,74,1
247,'2019/02/13 09:19:14:640',1,89,45,73,73,1
248,'2019/02/13 09:19:14:734',1,93,44,72,72,1
249,'2019/02/13 09:19:14:828',1,95,42,73,73,1
250,'2019/02/13 09:19:14:921',1,98,39,74,74,1
251,'2019/02/13 09:19:15:014',1,101,37,74,74,1
252,'2019/02/13 09:19:15:108',1,103,34,76,76,1
253,'2019/02/13 09:19:15:202',1,108,33,73,73,1
254,'2019/02/13 09:19:15:295',1,110,31,76,76,1
255,'2019/02/13 09:19:15:406',1,114,30,76,76,1
256,'2019/02/13 09:19:15:500',1,117,28,77,77,1
257,'2019/02/13 09:19:15:594',1,119,27,79,79,1
258,'2019/02/13 09:19:15:688',1,123,26,77,77,1
259,'2019/02/13 09:19:15:781',1,128,24,76,76,1
260,'2019/02/13 09:19:15:906',1,132,21,80,80,1
261,'2019/02/13 09:19:16:014',1,136,20,79,79,1
262,'2019/02/13 09:19:16:108',1,138,15,81,81,1
263,'2019/02/13 09:19:16:202',1,142,11,78,78,1
264,'2019/02/13 09:19:16:296',1,144,6,78,78,1
265,'2019/02/13 09:19:16:389',1,147,3,78,78,1
266,'2019/02/13 09:19:16:485',1,154,0,70,70,1
267,'2019/02/13 09:19:20:442',1,22,1,78,78,1
